# textflood 3840x2400 step=25 epoch_ms=1785580824692.086 mono_ms=1615431319.360
frame	loop_start_ms	render_ms	blit_ms	sync_ms
340	1615436605.923	13.169	0.001	2.058
341	1615436621.156	12.648	0.001	2.076
342	1615436635.885	12.808	0.000	2.094
343	1615436650.793	12.343	0.001	1.947
344	1615436665.088	13.432	0.001	2.213
345	1615436680.739	12.232	0.000	1.972
346	1615436694.949	12.380	0.001	5.930
347	1615436713.270	15.224	0.003	2.315
348	1615436730.820	13.613	0.001	2.255
349	1615436746.696	15.095	0.001	2.354
350	1615436764.153	13.638	0.001	2.181
351	1615436779.978	12.320	0.001	2.237
352	1615436794.541	12.654	0.001	4.137
353	1615436812.166	11.447	0.001	1.943
354	1615436825.562	14.308	0.001	2.101
355	1615436841.975	11.291	0.001	1.886
356	1615436855.159	11.767	0.001	4.707
357	1615436871.645	14.214	0.003	2.136
358	1615436888.013	15.869	0.004	3.367
359	1615436907.263	12.979	0.001	2.253
360	1615436922.504	13.947	0.001	2.295
361	1615436938.754	13.596	0.001	2.365
362	1615436954.723	15.957	0.002	2.323
363	1615436973.016	15.647	0.002	2.250
364	1615436990.921	14.847	0.001	2.534
365	1615437008.308	16.009	0.001	2.272
366	1615437026.598	13.392	0.004	3.328
367	1615437043.332	13.025	0.001	2.283
368	1615437058.648	12.120	0.001	2.958
369	1615437074.123	11.539	0.000	2.181
370	1615437087.848	11.689	0.001	2.041
371	1615437101.586	11.823	0.001	2.061
372	1615437115.475	11.622	0.001	2.228
373	1615437129.336	12.534	0.003	2.180
374	1615437144.058	13.817	0.001	2.236
375	1615437160.118	13.212	0.002	2.154
376	1615437175.492	12.504	0.001	2.237
377	1615437190.238	12.303	0.001	2.216
378	1615437204.763	12.503	0.000	2.258
379	1615437219.530	12.411	0.001	2.851
380	1615437234.797	12.981	0.001	2.125
381	1615437249.907	11.990	0.001	2.238
382	1615437264.142	11.935	0.000	3.281
383	1615437279.364	11.966	0.001	2.228
384	1615437293.563	11.933	0.001	2.214
385	1615437307.742	12.060	0.001	2.137
386	1615437321.945	12.438	0.001	2.597
387	1615437336.986	12.148	0.000	2.335
388	1615437351.473	12.439	0.001	2.206
389	1615437366.124	13.919	0.001	2.245
390	1615437382.294	12.793	0.001	2.159
391	1615437397.253	13.484	0.001	3.829
392	1615437414.586	15.657	0.003	2.417
393	1615437432.676	14.655	0.001	2.606
394	1615437449.946	13.669	0.001	2.238
395	1615437465.862	14.596	0.001	2.349
396	1615437482.817	13.403	0.001	2.269
397	1615437498.496	14.157	0.001	2.289
398	1615437514.948	13.593	0.001	2.277
399	1615437530.827	14.201	0.001	3.735
400	1615437548.780	15.300	0.003	2.214
401	1615437567.071	13.622	0.003	2.823
402	1615437583.526	12.698	0.001	2.212
403	1615437598.442	13.365	0.001	2.897
404	1615437614.709	12.854	0.001	2.210
405	1615437629.778	13.205	0.001	2.466
406	1615437645.468	14.739	0.003	2.406
407	1615437662.622	13.093	0.001	2.217
408	1615437677.940	13.108	0.001	2.576
409	1615437693.632	15.107	0.002	2.681
410	1615437711.433	12.295	0.001	2.247
411	1615437725.981	11.964	0.001	2.769
412	1615437740.720	12.607	0.001	2.360
413	1615437755.695	11.495	0.001	2.129
414	1615437769.327	12.372	0.001	4.498
415	1615437786.211	14.399	0.003	2.244
416	1615437802.871	13.008	0.001	2.392
417	1615437818.296	12.788	0.003	2.134
418	1615437833.230	12.964	0.001	2.755
419	1615437848.955	17.116	0.001	2.546
420	1615437868.626	14.497	0.004	2.450
421	1615437885.595	14.024	0.001	2.342
422	1615437901.970	13.875	0.001	2.370
423	1615437918.223	14.371	0.004	2.340
424	1615437934.956	13.574	0.001	3.232
425	1615437951.773	13.368	0.001	2.432
426	1615437967.582	13.381	0.001	2.345
427	1615437983.314	13.320	0.001	2.332
428	1615437998.974	13.206	0.001	2.169
429	1615438014.356	13.357	0.001	2.236
430	1615438029.956	13.303	0.001	2.535
431	1615438045.802	13.282	0.001	2.681
432	1615438061.771	12.311	0.000	2.261
433	1615438077.189	16.480	0.003	3.429
434	1615438097.108	11.638	0.003	2.208
435	1615438110.970	11.675	0.002	3.072
436	1615438125.730	13.136	0.003	2.339
437	1615438141.213	10.682	0.001	2.319
438	1615438154.220	11.783	0.001	2.169
439	1615438168.177	11.592	0.001	1.977
440	1615438181.754	12.274	0.001	2.422
441	1615438196.458	12.082	0.001	2.204
442	1615438210.752	12.302	0.001	3.067
443	1615438226.131	12.834	0.003	2.136
444	1615438241.111	11.977	0.004	2.106
445	1615438255.208	12.189	0.001	2.083
446	1615438269.484	12.317	0.001	2.082
447	1615438283.891	13.321	0.001	2.013
448	1615438299.232	12.558	0.000	2.116
449	1615438314.075	14.711	0.001	2.102
450	1615438330.895	13.297	0.000	2.483
451	1615438346.684	15.456	0.002	2.330
452	1615438364.482	14.277	0.004	2.737
453	1615438381.511	13.458	0.001	2.199
454	1615438397.174	12.804	0.000	2.730
455	1615438412.715	14.618	0.001	2.378
456	1615438429.717	12.852	0.001	2.284
457	1615438444.870	14.553	0.003	2.293
458	1615438461.725	13.169	0.001	2.231
459	1615438477.131	13.664	0.001	2.648
460	1615438493.462	15.210	0.003	2.349
461	1615438511.033	13.471	0.001	3.970
462	1615438528.479	13.386	0.001	2.341
463	1615438544.213	15.697	0.004	2.233
464	1615438562.163	12.661	0.004	2.007
465	1615438576.859	13.058	0.001	2.329
466	1615438592.252	12.436	0.001	1.994
467	1615438606.689	14.272	0.004	3.796
468	1615438624.774	14.155	0.003	2.344
469	1615438641.281	12.043	0.001	2.187
470	1615438655.519	12.713	0.001	2.313
471	1615438670.554	13.048	0.003	2.334
472	1615438685.956	12.384	0.001	2.397
473	1615438700.748	12.346	0.001	3.293
474	1615438716.396	10.949	0.000	2.619
475	1615438729.972	13.183	0.004	3.001
476	1615438746.170	11.939	0.000	2.273
477	1615438760.388	11.813	0.000	3.111
478	1615438775.320	12.477	0.000	2.177
479	1615438789.981	12.737	0.002	2.740
480	1615438805.478	12.808	0.001	2.344
481	1615438821.295	13.613	0.004	2.240
482	1615438837.163	19.237	0.001	2.461
483	1615438858.869	13.340	0.001	2.232
484	1615438874.447	17.091	0.001	2.270
485	1615438893.828	12.996	0.004	3.180
486	1615438910.026	14.095	0.004	2.340
487	1615438926.475	12.412	0.002	2.249
488	1615438941.146	12.210	0.001	9.129
489	1615438962.493	11.968	0.001	2.402
490	1615438976.875	13.261	0.002	2.184
491	1615438992.336	12.142	0.001	2.078
492	1615439006.562	12.384	0.001	2.520
493	1615439021.473	16.630	0.004	2.227
494	1615439040.353	12.601	0.001	2.352
495	1615439055.313	12.724	0.002	2.036
496	1615439070.082	12.378	0.004	2.646
497	1615439085.378	17.769	0.004	2.418
498	1615439105.577	12.534	0.001	2.569
499	1615439120.690	13.764	0.001	2.449
500	1615439136.913	12.673	0.001	5.653
501	1615439155.250	12.226	0.001	2.232
502	1615439169.713	12.260	0.001	2.284
503	1615439184.262	11.258	0.001	2.202
504	1615439197.729	12.176	0.001	2.376
505	1615439212.288	12.725	0.001	3.304
506	1615439228.322	12.594	0.001	2.861
507	1615439243.784	13.916	0.001	2.347
