# textflood 3840x2160 step=25 epoch_ms=1785502285769.710 mono_ms=58627596.037
frame	loop_start_ms	render_ms	blit_ms	sync_ms
395	58648952.139	31.716	0.003	7.242
396	58648991.110	36.479	0.003	16.913
397	58649044.515	29.157	0.003	7.272
398	58649080.959	34.373	0.003	8.607
399	58649123.953	34.583	0.003	7.110
400	58649165.658	30.281	0.003	7.194
401	58649203.155	39.704	0.003	7.562
402	58649250.435	33.945	0.003	7.326
403	58649291.720	34.636	0.002	7.101
404	58649333.470	42.316	0.002	7.449
405	58649383.247	35.323	0.003	7.120
406	58649425.703	28.005	0.002	7.148
407	58649460.868	47.168	0.002	7.107
408	58649515.155	32.423	0.002	7.036
409	58649554.627	35.785	0.003	7.612
410	58649598.041	27.633	0.002	7.175
411	58649632.862	25.350	0.003	6.608
412	58649664.831	24.321	0.002	8.024
413	58649697.192	32.443	0.003	7.942
414	58649737.590	33.937	0.003	7.639
415	58649779.178	24.414	0.003	7.219
416	58649810.825	35.338	0.003	7.343
417	58649853.527	29.208	0.002	6.796
418	58649889.544	25.797	0.003	7.394
419	58649922.748	40.007	0.002	12.863
420	58649975.632	27.407	0.002	7.159
421	58650010.210	30.417	0.002	9.451
422	58650050.097	33.776	0.003	7.339
423	58650091.226	36.128	0.003	7.219
424	58650134.588	42.283	0.003	7.802
425	58650184.685	29.680	0.003	6.527
426	58650220.907	27.870	0.003	6.882
427	58650255.673	34.060	0.003	10.568
428	58650300.331	32.930	0.003	8.206
429	58650341.482	26.477	0.003	6.803
430	58650374.776	33.837	0.003	7.300
431	58650415.928	33.617	0.003	7.892
432	58650457.454	26.967	0.002	7.081
433	58650491.522	37.697	0.002	7.312
434	58650536.543	28.047	0.002	6.780
435	58650571.382	25.008	0.002	6.992
436	58650603.394	23.037	0.002	8.767
437	58650635.216	30.737	0.002	13.816
438	58650679.780	24.588	0.003	6.571
439	58650710.952	24.559	0.002	7.121
440	58650742.645	32.627	0.003	15.839
441	58650791.125	24.984	0.002	7.016
442	58650823.138	25.791	0.003	10.143
443	58650859.090	35.293	0.003	13.224
444	58650907.621	39.523	0.002	7.247
445	58650954.406	37.801	0.004	8.590
446	58651000.811	32.526	0.003	7.089
447	58651040.442	32.235	0.003	10.021
448	58651082.714	38.563	0.002	13.854
449	58651135.151	28.926	0.003	6.931
450	58651171.021	40.778	0.003	7.368
451	58651219.181	30.713	0.003	6.735
452	58651256.645	29.576	0.003	6.814
453	58651293.050	39.281	0.003	9.429
454	58651341.776	35.608	0.003	6.560
455	58651383.958	29.451	0.002	7.016
456	58651420.436	44.901	0.003	12.629
457	58651477.980	34.706	0.003	7.033
458	58651519.734	32.659	0.002	6.805
459	58651559.211	47.848	0.002	7.874
460	58651614.945	29.761	0.002	7.470
461	58651652.191	32.017	0.002	6.950
462	58651691.172	38.103	0.002	8.232
463	58651737.521	35.457	0.002	7.071
464	58651780.061	28.420	0.003	7.984
465	58651816.504	34.549	0.002	13.006
466	58651864.073	27.473	0.003	7.255
467	58651898.815	35.267	0.002	8.828
468	58651942.926	34.750	0.003	7.197
469	58651984.888	27.327	0.003	7.000
470	58652019.229	33.839	0.002	9.013
471	58652062.093	32.211	0.002	7.473
472	58652101.789	25.306	0.002	7.235
473	58652134.343	33.979	0.002	8.750
474	58652177.085	29.856	0.003	7.618
475	58652214.572	24.640	0.002	7.210
476	58652246.433	32.898	0.003	7.853
477	58652287.198	34.112	0.003	7.758
478	58652329.084	32.663	0.003	7.349
479	58652369.111	35.120	0.003	8.252
480	58652412.500	36.143	0.004	7.372
481	58652456.071	37.214	0.002	7.799
482	58652501.101	35.176	0.002	7.154
483	58652543.443	28.622	0.003	7.151
484	58652579.231	29.122	0.003	12.663
485	58652621.036	41.991	0.003	11.840
486	58652674.880	33.609	0.002	7.248
487	58652715.751	32.810	0.002	7.399
488	58652755.975	30.372	0.003	12.982
489	58652799.343	27.341	0.002	7.008
490	58652833.705	34.978	0.002	10.701
491	58652879.401	29.782	0.003	8.038
492	58652917.234	26.026	0.002	7.208
493	58652950.480	39.861	0.003	7.462
494	58652997.817	31.866	0.002	6.875
495	58653036.579	26.698	0.002	8.626
496	58653071.921	36.363	0.003	15.787
497	58653124.100	31.348	0.003	7.192
498	58653162.651	36.641	0.004	10.034
499	58653209.346	29.937	0.003	7.168
500	58653246.464	34.429	0.002	7.281
501	58653288.186	35.131	0.003	8.498
502	58653331.827	36.778	0.003	8.024
503	58653376.643	26.088	0.003	7.357
504	58653410.100	40.479	0.003	14.901
505	58653465.493	27.108	0.003	7.221
506	58653499.837	27.305	0.003	8.196
507	58653535.356	39.083	0.003	13.623
508	58653588.076	32.821	0.003	7.079
509	58653627.990	29.882	0.003	8.056
510	58653665.939	38.813	0.003	7.183
511	58653711.950	30.255	0.003	7.302
512	58653749.521	34.243	0.003	7.402
513	58653791.188	29.565	0.003	6.763
514	58653827.529	28.622	0.002	7.862
515	58653864.028	36.156	0.003	7.484
516	58653907.681	31.444	0.003	6.910
517	58653946.047	26.425	0.003	7.132
518	58653979.617	42.768	0.002	11.401
519	58654033.800	27.932	0.003	6.700
520	58654068.444	30.935	0.002	7.902
521	58654107.298	38.769	0.002	8.043
522	58654154.122	34.259	0.002	7.049
523	58654195.442	28.185	0.002	7.005
524	58654230.645	28.330	0.003	6.844
525	58654265.832	27.418	0.001	6.655
526	58654299.917	26.349	0.002	6.623
527	58654332.900	25.567	0.002	6.694
528	58654365.175	25.963	0.002	6.678
529	58654397.837	24.923	0.003	6.679
530	58654429.452	23.894	0.002	6.539
531	58654459.899	23.606	0.003	6.607
532	58654490.129	23.966	0.003	6.794
533	58654520.902	35.394	0.003	7.034
534	58654563.344	23.396	0.002	6.947
535	58654593.702	23.459	0.002	7.429
536	58654624.604	30.569	0.002	6.798
537	58654661.985	24.241	0.002	6.828
538	58654693.068	24.644	0.002	6.828
539	58654724.554	35.255	0.002	7.160
540	58654766.985	31.719	0.002	6.999
541	58654805.715	27.180	0.002	6.835
542	58654839.743	27.296	0.002	7.766
543	58654874.818	27.116	0.002	6.722
544	58654908.671	27.004	0.002	6.612
545	58654942.310	25.960	0.002	6.588
546	58654974.872	26.094	0.002	6.662
547	58655007.641	26.082	0.002	6.792
548	58655040.529	25.647	0.002	6.790
549	58655072.981	25.772	0.002	6.886
550	58655105.653	25.885	0.002	6.781
551	58655138.332	26.454	0.002	6.751
552	58655171.551	25.574	0.002	6.757
553	58655203.895	24.931	0.002	6.841
554	58655235.681	24.645	0.002	6.814
555	58655267.154	23.521	0.002	6.751
556	58655297.441	22.274	0.002	6.737
557	58655326.465	21.889	0.002	6.849
558	58655355.217	22.978	0.002	6.939
559	58655385.148	23.633	0.001	6.860
560	58655415.654	23.382	0.002	6.687
561	58655445.746	23.197	0.002	6.740
562	58655475.697	24.543	0.002	6.780
563	58655507.033	30.505	0.002	7.310
564	58655544.866	26.741	0.003	7.404
565	58655579.026	25.361	0.002	7.065
566	58655611.466	27.453	0.002	7.245
567	58655646.177	27.028	0.003	7.211
568	58655680.430	27.117	0.003	7.270
569	58655714.831	27.793	0.002	7.443
570	58655750.083	28.689	0.003	7.134
571	58655785.919	28.389	0.003	7.262
572	58655821.584	29.402	0.003	7.190
573	58655858.192	30.510	0.002	9.279
574	58655898.021	32.875	0.002	7.055
575	58655937.963	31.074	0.002	7.515
576	58655976.563	31.827	0.002	7.136
577	58656015.555	28.661	0.002	6.678
578	58656050.906	27.586	0.002	6.884
579	58656085.390	27.362	0.001	6.896
580	58656119.659	28.777	0.002	6.929
581	58656155.378	31.406	0.002	6.913
582	58656193.711	29.548	0.002	7.108
583	58656230.380	30.809	0.002	7.073
584	58656268.274	28.528	0.002	6.913
585	58656303.726	27.348	0.002	7.097
586	58656338.184	25.998	0.002	7.032
587	58656371.226	27.754	0.002	7.321
588	58656406.317	26.468	0.001	6.870
589	58656439.667	26.408	0.002	6.796
590	58656472.883	24.950	0.002	6.839
591	58656504.684	27.924	0.002	7.069
592	58656539.693	28.689	0.002	7.210
593	58656575.614	26.660	0.003	7.511
594	58656609.801	24.444	0.002	7.797
595	58656642.057	23.823	0.002	7.012
596	58656672.906	24.173	0.002	6.944
597	58656704.039	32.173	0.002	7.055
598	58656743.281	26.954	0.001	7.756
599	58656778.017	25.716	0.001	7.610
600	58656811.358	27.190	0.001	7.542
601	58656846.102	32.343	0.002	8.341
602	58656886.801	27.700	0.002	7.865
603	58656922.379	27.599	0.002	7.666
604	58656957.659	26.537	0.001	7.645
605	58656991.853	27.438	0.001	6.785
606	58657026.088	31.946	0.002	7.464
607	58657065.513	31.877	0.002	7.442
608	58657104.845	31.896	0.002	8.285
609	58657145.049	30.457	0.002	7.342
610	58657182.864	29.471	0.002	7.254
611	58657219.602	27.160	0.002	7.272
612	58657254.047	29.008	0.002	7.684
613	58657290.753	29.187	0.002	7.399
614	58657327.352	29.204	0.002	7.244
615	58657363.816	30.324	0.002	7.250
616	58657401.403	30.392	0.002	7.257
617	58657439.064	30.204	0.002	7.304
618	58657476.587	29.652	0.003	7.355
619	58657513.607	30.344	0.002	7.505
620	58657551.473	27.291	0.002	7.590
621	58657586.366	26.422	0.001	7.695
622	58657620.495	27.721	0.002	7.931
623	58657656.163	25.375	0.002	7.961
624	58657689.512	26.318	0.002	7.874
625	58657723.723	25.952	0.002	8.096
626	58657757.785	26.776	0.002	7.745
627	58657792.322	27.428	0.002	7.624
628	58657827.386	27.232	0.002	7.768
629	58657862.399	29.418	0.002	8.221
630	58657900.053	28.744	0.002	6.833
631	58657935.642	27.109	0.001	6.700
632	58657969.462	26.568	0.001	6.613
633	58658002.656	26.543	0.002	6.599
634	58658035.811	26.014	0.001	6.598
635	58658068.434	25.192	0.002	6.579
636	58658100.217	25.253	0.001	6.734
637	58658132.216	26.277	0.002	6.655
638	58658165.160	25.806	0.002	6.640
639	58658197.618	26.623	0.001	6.551
640	58658230.803	26.824	0.001	6.527
641	58658264.174	27.995	0.002	6.553
642	58658298.735	26.914	0.002	6.532
643	58658332.195	26.930	0.002	6.772
644	58658365.910	27.298	0.002	7.026
645	58658400.249	27.305	0.002	6.641
646	58658434.206	26.371	0.002	6.614
647	58658467.203	25.302	0.001	6.584
648	58658499.101	25.656	0.001	6.556
649	58658531.325	24.625	0.002	6.654
650	58658562.616	23.666	0.002	6.605
651	58658592.901	23.329	0.002	6.567
652	58658622.809	22.967	0.002	7.210
653	58658653.015	22.924	0.002	6.547
654	58658682.499	22.580	0.001	6.562
655	58658711.653	22.713	0.001	6.545
656	58658740.925	23.415	0.002	6.579
657	58658770.941	24.273	0.002	6.640
658	58658801.866	24.290	0.002	6.547
659	58658832.716	24.978	0.002	6.583
660	58658864.288	25.558	0.002	6.531
661	58658896.389	26.451	0.002	6.573
662	58658929.425	26.535	0.002	6.581
663	58658962.554	26.196	0.001	6.528
664	58658995.290	26.456	0.002	7.158
665	58659028.916	25.662	0.002	6.553
666	58659061.143	25.567	0.001	6.535
667	58659093.257	25.643	0.002	6.857
668	58659125.770	25.990	0.002	7.189
669	58659158.961	26.071	0.002	6.901
670	58659191.946	25.824	0.001	6.696
671	58659224.478	26.121	0.002	6.585
672	58659257.197	25.727	0.002	6.587
673	58659289.532	24.454	0.002	6.524
674	58659320.523	23.808	0.001	6.633
675	58659350.975	23.019	0.001	6.564
676	58659380.576	22.304	0.001	6.692
677	58659409.585	21.574	0.002	6.584
678	58659437.756	22.121	0.001	6.739
679	58659466.628	23.207	0.002	6.811
680	58659496.660	23.512	0.002	7.053
681	58659527.242	23.276	0.002	6.698
682	58659557.227	23.767	0.001	6.634
683	58659587.640	24.837	0.002	6.683
684	58659619.172	24.502	0.002	6.923
